step,normalized_curvature_index,max_curvature
0,0,0
1,0.0024736169,0.54725611
2,0.0074929474,1.6577188
3,0.018237609,4.0348378
4,0.033431168,7.3962185
5,0.052881516,11.699359
6,0.070149911,15.519771
7,0.096599796,21.37147
8,0.12679411,28.051575
9,0.16054464,35.518449
10,0.18807542,41.609282
11,0.22758062,50.349302
12,0.270093,59.754623
13,0.30382073,67.216451
14,0.35106706,77.669099
15,0.40069622,88.648916
16,0.45245817,100.10059
17,0.49252182,108.96416
18,0.54737728,121.10023
19,0.60361574,133.54226
20,0.66094522,146.22568
21,0.70447852,155.85686
22,0.7629943,168.80273
23,0.82176853,181.80578
24,0.880496,194.79848
25,0.92432925,204.49603
26,0.98225304,217.31093
27,1.0393185,229.93593
28,1.0813875,239.24316
29,1.1362939,251.39051
30,1.1896163,263.18739
31,1.2411199,274.58192
32,1.2784229,282.83471
33,1.3262317,293.4118
34,1.371666,303.46358
35,1.4145553,312.95227
36,1.4449576,319.6784
37,1.4830258,328.1005
38,1.5181506,335.8714
39,1.542487,341.25553
40,1.572164,347.82118
41,1.5985677,353.66266
42,1.6215842,358.75478
43,1.6365545,362.06676
44,1.6533631,365.78545
45,1.6664539,368.68162
46,1.6756908,370.72518
47,1.68,371.67852
48,1.6555561,366.27061
