step,adaptive_three_force_mm,fixed_position_three_force_mm,linear_reference_mm
0,5.8572086,7.5957945,5.8572086
1,5.8553975,7.6401062,5.8682575
2,5.8500273,7.6796966,5.8793063
3,5.8411943,7.7143104,5.8903551
4,5.8289975,7.743706,5.9014039
5,5.8135379,7.7676578,5.9124528
6,5.794919,7.7859602,5.9235016
7,5.7732461,7.7984299,5.9345504
8,5.7486269,7.8049088,5.9455993
9,5.7211709,7.8052664,5.9566481
10,5.6909899,7.7994022,5.9676969
11,5.658198,7.7872472,5.9787458
12,5.6229118,7.7687661,5.9897946
13,5.5852506,7.7439584,6.0008434
14,5.5453365,7.7128596,6.0118923
15,5.5032951,7.6755422,6.0229411
16,5.4592559,7.6321159,6.0339899
17,5.4133523,7.5827284,6.0450388
18,5.3657227,7.5275651,6.0560876
19,5.3165108,7.4668486,6.0671364
20,5.2658658,7.4008387,6.0781853
21,5.2139435,7.3298308,6.0892341
22,5.1609063,7.2541548,6.1002829
23,5.106924,7.1741736,6.1113317
24,5.0521737,7.0902807,6.1223806
25,4.9968399,7.0028977,6.1334294
26,4.9411147,6.9124717,6.1444782
27,4.8851976,6.8194718,6.1555271
28,4.8292944,6.7243852,6.1665759
29,4.7736168,6.6277132,6.1776247
30,4.718381,6.529967,6.1886736
31,4.6638066,6.4316622,6.1997224
32,4.6101141,6.3333144,6.2107712
33,4.5575235,6.2354339,6.2218201
34,4.5062512,6.1385199,6.2328689
35,4.4565074,6.0430554,6.2439177
36,4.4084935,5.9495021,6.2549666
37,4.3623982,5.8582952,6.2660154
38,4.3183951,5.7698387,6.2770642
39,4.2766385,5.6845015,6.288113
40,4.2372616,5.6026133,6.2991619
41,4.2003725,5.5244624,6.3102107
42,4.1660528,5.4502935,6.3212595
43,4.1343552,5.3803064,6.3323084
44,4.1053028,5.3146563,6.3433572
45,4.0788885,5.2534544,6.354406
46,4.0550752,5.19677,6.3654549
47,4.0337977,5.1446329,6.3765037
48,4.0149641,5.0970367,6.3875525
49,3.998459,5.0539433,6.3986014
50,3.9841466,5.0152868,6.4096502
51,3.9718749,4.9809785,6.420699
52,3.9614801,4.9509111,6.4317479
53,3.9527903,4.9249637,6.4427967
54,3.9456307,4.9030058,6.4538455
55,3.9398271,4.8849005,6.4648944
56,3.9352098,4.8705084,6.4759432
57,3.9316168,4.8596893,6.486992
58,3.9288965,4.8523042,6.4980408
59,3.9269095,4.8482163,6.5090897
60,3.9255299,4.8472917,6.5201385
61,3.9246459,4.8493988,6.5311873
62,3.9241599,4.8544078,6.5422362
63,3.9239877,4.8621901,6.553285
64,3.9240583,4.8726164,6.5643338
65,3.9243118,4.8855559,6.5753827
66,3.924699,4.9008749,6.5864315
67,3.9251791,4.9184351,6.5974803
68,3.9257187,4.9380926,6.6085292
69,3.9262904,4.9596973,6.619578
70,3.9268713,4.9830916,6.6306268
71,3.9274424,5.0081107,6.6416757
72,3.9279872,5.0345818,6.6527245
73,3.9284915,5.0623251,6.6637733
74,3.9289429,5.0911537,6.6748221
75,3.9293302,5.1208748,6.685871
76,3.9296438,5.1512905,6.6969198
77,3.9298753,5.1821995,6.7079686
78,3.9300179,5.2133978,6.7190175
79,3.9300663,5.2446809,6.7300663
