iteration,rms_shape_error_mm,normalized_objective
1,6.0405876,1.0635967
2,14.060141,5.7623278
3,22.049008,14.170877
4,20.547503,12.306561
5,18.985071,10.506137
6,17.321854,8.7459578
7,15.851813,7.3244744
8,14.607148,6.2194138
9,13.350202,5.1951045
10,12.634811,4.6532473
11,11.868787,4.1061165
12,11.177929,3.6420115
13,10.428206,3.1698432
14,9.9755578,2.9006344
15,9.6154607,2.6950002
16,9.494525,2.6276354
17,9.4091295,2.5805811
18,9.3015524,2.5219095
19,9.1289835,2.4292011
20,9.027772,2.3756353
21,8.8732222,2.2949928
22,8.5407133,2.1262137
23,8.2603114,1.9888931
24,8.2219261,1.9704515
25,8.2635229,1.99044
26,8.3831056,2.0484647
27,8.4287251,2.0708202
28,8.5443618,2.1280306
29,8.6165667,2.1641488
30,8.299814,2.0079613
31,7.9901048,1.8609023
32,7.9141175,1.8256755
33,7.9569897,1.8455092
34,7.8816311,1.810718
35,7.788086,1.7679912
36,7.7656885,1.7578368
37,7.7147035,1.7348307
38,7.4746334,1.6285399
39,7.194172,1.5086213
40,7.2584306,1.5356918
41,7.4730972,1.6278706
42,7.5999124,1.6835879
43,7.6480816,1.7049971
44,7.7705804,1.7600521
45,7.8843993,1.8119902
46,7.668131,1.7139481
47,7.364152,1.5807533
48,7.2462613,1.5305468
49,7.3017587,1.5540807
50,7.2994494,1.5530978
51,7.2205818,1.519718
52,7.2638162,1.5379716
53,7.322986,1.5631297
54,7.1863953,1.5053615
55,6.9174537,1.3947974
56,6.797977,1.3470323
57,5.2011826,0.78853835
58,3.5745904,0.37245274
59,1.8747577,0.10244928
60,0.18213727,0.0009669773
