step,s1_m,Fx1_uN,Fy1_uN,F1_uN,s2_m,Fx2_uN,Fy2_uN,F2_uN,s3_m,Fx3_uN,Fy3_uN,F3_uN,s4_m,Fx4_uN,Fy4_uN,F4_uN,s5_m,Fx5_uN,Fy5_uN,F5_uN,s6_m,Fx6_uN,Fy6_uN,F6_uN,s7_m,Fx7_uN,Fy7_uN,F7_uN
0,0,0,5,5,0.0075,-5.3058529,23.001037,23.60508,0.015,-5.4830628,13.64527,14.705692,0.02,-9.0837705,25.901063,27.447767,0.03,-20.127244,5.2556983,20.802122,0.04,-18.220355,21.130214,27.901026,0.05,-0.067658068,6.2214663,6.2218341
1,0,0,5.0141188,5.0141188,0.0075,-4.8972837,21.252213,21.809171,0.015,-5.8356763,14.538053,15.66557,0.02,-8.3848102,23.933225,25.359501,0.03,-18.926142,4.9472131,19.562049,0.04,-16.732049,19.424651,25.637444,0.05,-0.053616034,3.9996406,4
2,0,0,5.0282332,5.0282332,0.0075,-5.1313465,22.286837,22.869933,0.015,-5.8485831,14.58254,15.711665,0.02,-8.7859984,25.099621,26.592945,0.03,-18.717311,4.8967096,19.347235,0.04,-19.150073,22.250677,29.356736,0.05,-0.10643429,6.3860029,6.3868898
3,0,0,5.0423388,5.0423388,0.0075,-5.5859143,24.276828,24.911179,0.015,-5.84316,14.578402,15.705805,0.02,-9.5646862,27.341802,28.966487,0.03,-19.964683,5.226323,20.637418,0.04,-18.427036,21.424441,28.258846,0.05,-0.10277872,4.9812213,4.9822816
4,0,0,5.0564312,5.0564312,0.0075,-5.103241,22.188991,22.768276,0.015,-6.1046985,15.237683,16.415064,0.02,-8.7384447,24.991026,26.474739,0.03,-19.387272,5.0773226,20.041095,0.04,-18.247789,21.225545,27.99117,0.05,-0.11830895,4.6782507,4.6797464
5,0,0,5.070506,5.070506,0.0075,-5.5744403,24.243797,24.876416,0.015,-5.7142677,14.266642,15.368472,0.02,-9.5454399,27.305711,28.926065,0.03,-19.818517,5.1914126,20.487176,0.04,-16.206636,18.856033,24.863729,0.05,-0.20217569,6.6019227,6.6050177
6,0,0,5.0845589,5.0845589,0.0075,-5.3334194,23.196798,23.802034,0.015,-5.5607956,13.884151,14.95634,0.02,-9.1327608,26.126558,27.676784,0.03,-19.353004,5.0695814,20.005984,0.04,-19.17961,22.316253,29.425713,0.05,-0.24673684,6.7361867,6.740704
7,0,0,5.0985854,5.0985854,0.0075,-5.3063596,23.075861,23.678108,0.015,-5.6918365,14.209271,15.306873,0.02,-9.0863574,25.990128,27.532684,0.03,-17.983753,4.7100697,18.590324,0.04,-19.479164,22.661674,29.882927,0.05,-0.32576304,7.5240381,7.531087
8,0,0,5.1125812,5.1125812,0.0075,-5.4479792,23.683864,24.302385,0.015,-5.859808,14.623672,15.75402,0.02,-9.3286874,26.674394,28.258587,0.03,-19.292045,5.0508396,19.942266,0.04,-18.095939,21.045539,27.755679,0.05,-0.32725819,6.4649309,6.4732086
9,0,0,5.1265419,5.1265419,0.0075,-5.2666888,22.883826,23.482067,0.015,-5.820302,14.517439,15.640715,0.02,-9.0179938,25.772544,27.30473,0.03,-18.972617,4.9644029,19.611361,0.04,-19.514935,22.684091,29.923246,0.05,-0.4123839,7.0378292,7.0499008
10,0,0,5.1404633,5.1404633,0.0075,-5.3889386,23.398449,24.010999,0.015,-5.5609978,13.860774,14.934716,0.02,-9.2269453,26.351031,27.919766,0.03,-20.234621,5.2906216,20.914841,0.04,-17.960717,20.86279,27.528955,0.05,-0.41597793,6.1887461,6.2027104
11,0,0,5.1543409,5.1543409,0.0075,-5.3544323,23.227912,23.837069,0.015,-5.4441084,13.557252,14.609497,0.02,-9.1673934,26.157598,27.717522,0.03,-18.791274,4.9086082,19.421802,0.04,-18.970261,22.015906,29.061502,0.05,-0.42578744,5.5676651,5.5839224
