step,F1_uN,F2_uN,F3_uN,F4_uN,F5_uN,F6_uN,F7_uN
0,1.2508,1.198148,1.0779267,1.437627,1.530471,1.4811559,1.3448724
1,1.2845885,1.2247836,1.0946677,1.4478655,1.5262993,1.4608881,1.3107734
2,1.3105544,1.2431389,1.1033226,1.4467776,1.5100693,1.4297684,1.2685571
3,1.3288122,1.2536764,1.104713,1.4361521,1.4846083,1.3916089,1.2228073
4,1.3404533,1.2577477,1.1004284,1.4187618,1.4537303,1.3510736,1.1787185
5,1.3473137,1.2573468,1.0925816,1.3979996,1.4217968,1.313188,1.1415757
6,1.3516746,1.2548108,1.0835273,1.3774797,1.3932547,1.2828424,1.1162498
7,1.3559413,1.2525119,1.0755813,1.3606511,1.3722008,1.2643395,1.1067553
8,1.3623556,1.2525864,1.0707787,1.3504701,1.3620218,1.2610303,1.1159138
9,1.3728062,1.2567562,1.0707115,1.3491774,1.3651491,1.2750767,1.1451512
10,1.388801,1.2662969,1.0764875,1.3582259,1.3829683,1.3073655,1.1944498
11,1.4116602,1.2822078,1.0888534,1.3784015,1.4159164,1.3575989,1.2624639
12,1.4429471,1.3056197,1.1085209,1.4101876,1.4638064,1.4245829,1.3468059
13,1.4850802,1.3384281,1.1367095,1.4544074,1.5264217,1.5067473,1.4445188
14,1.5419407,1.3840392,1.1758632,1.513143,1.6044083,1.6029311,1.5527582
15,1.6191441,1.4479729,1.2303856,1.5908222,1.7004321,1.7134535,1.6697163
16,1.7235532,1.5379133,1.307087,1.6951875,1.8204301,1.8414026,1.795791
17,1.8616834,1.6627431,1.4149034,1.8376357,1.9745516,1.993907,1.9348994
18,2.0369949,1.8302611,1.5634435,2.0322554,2.1771299,2.1828867,2.0956381
19,2.2466414,2.0437512,1.7601753,2.2929805,2.444895,2.4245265,2.2917129
20,2.4788628,2.2982572,2.0066183,2.6287838,2.7928663,2.7366564,2.5408381
21,2.7124867,2.5780445,2.2946318,3.0377682,3.2281155,3.1336121,2.8613473
22,2.9196103,2.8568551,2.6044242,3.5020713,3.7427816,3.6191122,3.2663051
23,3.0714183,3.1018844,2.9058238,3.9860955,4.3088953,4.1790194,3.7560213
24,3.1456454,3.2809939,3.1634169,4.4400968,4.8779682,4.7769659,4.3112187
25,3.1331483,3.3711027,3.34459,4.8094387,5.3873127,5.3558738,4.8900069
26,3.0410518,3.3647952,3.4280105,5.0473679,5.7726625,5.8468769,5.4314493
27,2.891139,3.2725772,3.4094849,5.1271922,5.9837696,6.1842915,5.866523
28,2.714028,3.119831,3.3029205,5.0493948,5.9977333,6.3223052,6.1342071
29,2.5412941,2.9396291,3.1360033,4.8409405,5.8251035,6.2475648,6.1976966
30,2.3982871,2.7641027,2.9422937,4.5470923,5.5064173,5.9828998,6.0548985
31,2.2997692,2.6173283,2.7526921,4.2189564,5.1005974,5.5807602,5.7391747
32,2.249121,2.5116953,2.5891038,3.9013061,4.6696888,5.1089768,5.310058
33,2.2404857,2.4481102,2.4618619,3.624498,4.2653065,4.6341928,4.8375566
34,2.2624359,2.4190035,2.370818,3.4021197,3.9207062,4.2085275,4.3857811
35,2.3017139,2.4124826,2.3087864,3.2336299,3.6496021,3.8629237,4.0011036
36,2.346088,2.4161404,2.2656394,3.1097574,3.4502449,3.6075366,3.7074934
37,2.3859942,2.4196701,2.2317069,3.0182025,3.3119228,3.4370192,3.5085771
38,2.4151102,2.4161129,2.1998366,2.9479305,3.2211707,3.3375752,3.3938251
39,2.4302143,2.4020155,2.1661178,2.8914216,3.1660372,3.2931345,3.345725
40,2.4306768,2.3769288,2.1296403,2.845105,3.1380096,3.2892788,3.345593
41,2.4178253,2.3426236,2.0917426,2.8086214,3.1320689,3.314808,3.3770196
42,2.3943085,2.3022679,2.0551116,2.7835802,3.1456853,3.3616035,3.4271005
43,2.3635075,2.2596834,2.0229459,2.7722912,3.1774902,3.4236555,3.4862088
44,2.3290107,2.2187225,1.9982766,2.7767259,3.2260976,3.4959508,3.547137
45,2.2941621,2.1827756,1.9834679,2.7977971,3.2892933,3.5736211,3.6042096
46,2.2616974,2.1544084,1.9798917,2.834952,3.363627,3.6514901,3.6526658
47,2.2334865,2.1351327,1.987762,2.8860421,3.4443588,3.7239963,3.6883766
48,2.2103954,2.1253117,2.0061143,2.947421,3.5256784,3.785398,3.7078342
