step,total_length_mm,total_length_residual_mm,max_segment_length_error_percent
0,50.0029,0.0028998484,0.11298004
1,50.003144,0.0031437072,0.11533297
2,50.003298,0.0032981338,0.11773151
3,50.003368,0.0033682887,0.1201155
4,50.003362,0.0033619027,0.12242931
5,50.003289,0.0032889207,0.12462297
6,50.003161,0.003161076,0.12665334
7,50.002991,0.0029914089,0.1284851
8,50.002794,0.0027937503,0.13009178
9,50.002582,0.0025821923,0.13145702
10,50.002371,0.0023705732,0.13257621
11,50.002172,0.0021720164,0.13345911
12,50.001999,0.0019985704,0.13413377
13,50.001861,0.0018610152,0.13465218
14,50.001769,0.0017688953,0.13509725
15,50.001731,0.0017308146,0.13558968
16,50.001755,0.0017549355,0.13629147
17,50.001849,0.0018494683,0.13740126
18,50.002023,0.0020227345,0.13913608
19,50.002282,0.0022822448,0.14169578
20,50.002632,0.0026323102,0.1452117
21,50.00307,0.0030701447,0.14968863
22,50.003581,0.0035812256,0.15495728
23,50.004136,0.0041355745,0.16065814
24,50.004687,0.0046871008,0.16627374
25,50.005178,0.005177683,0.17121293
26,50.005546,0.005546122,0.17493222
27,50.00574,0.0057399747,0.17706193
28,50.005727,0.0057266057,0.17749853
29,50.0055,0.0054995764,0.17643255
30,50.005078,0.0050780615,0.1743026
31,50.0045,0.0044996771,0.17169077
32,50.00381,0.003809596,0.16919336
33,50.00305,0.0030499264,0.16730539
34,50.002253,0.0022526341,0.1663475
35,50.001437,0.0014373762,0.16644581
36,50.000614,0.00061357158,0.16755698
37,49.999785,0.00021522503,0.16951992
38,49.998953,0.0010467369,0.17211324
39,49.998123,0.0018765986,0.17510337
40,49.997303,0.002696718,0.17827585
41,49.996505,0.0034951527,0.18145011
42,49.995743,0.0042569493,0.184482
43,49.995035,0.0049653933,0.1872595
44,49.994397,0.0056032867,0.18969615
45,49.993846,0.0061540602,0.19172496
46,49.993397,0.0066026685,0.19329387
47,49.993064,0.0069362822,0.19436294
48,49.992855,0.0071448103,0.19490279
