step,total_length_mm,total_length_residual_mm,max_segment_length_error_percent,normalized_curvature_index,max_curvature
0,50.005,0.0050000001,0.08,0.11263092,0.04134675
1,50.00501,0.0050102725,0.08017976,0.1346268,0.044020552
2,50.005041,0.0050405108,0.080708913,0.15854381,0.046804309
3,50.00509,0.0050898484,0.081572268,0.18326731,0.049587735
4,50.005157,0.0051574211,0.082754637,0.20781405,0.05227314
5,50.005242,0.0052423706,0.08424084,0.23137456,0.054779323
6,50.005344,0.0053438535,0.086015713,0.25334587,0.05704461
7,50.005461,0.0054610591,0.08806415,0.27335312,0.059028906
8,50.005593,0.005593248,0.090371192,0.29125895,0.060714664
9,50.00574,0.0057398247,0.092922254,0.30716057,0.062106757
10,50.0059,0.0059004682,0.095703622,0.32137507,0.0632313
11,50.006075,0.0060753481,0.098703514,0.3344148,0.064133576
12,50.006265,0.0062654549,0.10191412,0.34695614,0.064875343
13,50.006473,0.0064730511,0.10533522,0.35980745,0.065532021
14,50.006702,0.006702212,0.10898011,0.37388526,0.066190534
15,50.006959,0.0069593471,0.11288401,0.39021182,0.066948911
16,50.007253,0.0072534962,0.11711468,0.40994951,0.067918979
17,50.007596,0.007596102,0.12178276,0.43448424,0.069233187
18,50.008,0.0079999285,0.12704734,0.46555449,0.071055269
19,50.008477,0.0084768835,0.13310991,0.50538897,0.073591614
20,50.009035,0.0090347623,0.14018914,0.55676698,0.077096046
21,50.009673,0.0096733445,0.14847199,0.62286864,0.081856731
22,50.010381,0.010380742,0.15804362,0.7067741,0.088153238
23,50.011131,0.011131218,0.16880978,0.81054451,0.096178059
24,50.011886,0.011885689,0.18043573,0.93399243,0.10593173
25,50.012596,0.012595594,0.19233059,1.0734847,0.11712073
26,50.01321,0.013209922,0.20369929,1.2213061,0.12910309
27,50.013684,0.013684079,0.21366532,1.3661014,0.14092568
28,50.013988,0.013988474,0.22144134,1.494621,0.15147231
29,50.014114,0.014114484,0.22650205,1.5944799,0.15969807
30,50.014076,0.014076117,0.22870625,1.6571285,0.16488168
31,50.013907,0.013906846,0.22832783,1.68,0.16680789
32,50.013653,0.013652578,0.22598515,1.6670309,0.16581167
33,50.013363,0.013362717,0.22249266,1.6273613,0.16266773
34,50.013082,0.013081687,0.21868252,1.5727321,0.15836932
35,50.012843,0.012842817,0.21524874,1.5145496,0.15387885
36,50.012666,0.012665582,0.21265147,1.4615885,0.14993273
37,50.012556,0.012556066,0.21109383,1.418905,0.14694927
38,50.01251,0.012509757,0.21055902,1.3879857,0.14504146
39,50.012515,0.0125154,0.21088146,1.3677284,0.14410071
40,50.012559,0.012558769,0.21182372,1.3557008,0.14390413
41,50.012626,0.012625607,0.21313911,1.3492224,0.14420675
42,50.012703,0.012703431,0.21461093,1.3460419,0.14479957
43,50.012782,0.012782317,0.21606918,1.3446016,0.14553233
44,50.012855,0.012854912,0.21739106,1.3440063,0.14631122
45,50.012916,0.012916047,0.21849278,1.3438426,0.14708393
46,50.012962,0.012962185,0.21931867,1.3439676,0.14782205
47,50.012991,0.012990907,0.21983135,1.3443291,0.14850607
48,50.013,0.013000494,0.22000425,1.3448406,0.14911513
