step,length_error_mm
0,6.9388939e-15
1,0
2,0
3,-6.9388939e-15
4,-1.3877788e-14
5,6.9388939e-15
6,-6.9388939e-15
7,1.3877788e-14
8,1.3877788e-14
9,-6.9388939e-15
10,6.9388939e-15
11,0
12,-1.3877788e-14
13,-6.9388939e-15
14,0
15,-1.3877788e-14
16,6.9388939e-15
17,-6.9388939e-15
18,0
19,-2.0816682e-14
20,-6.9388939e-15
21,0
22,-1.3877788e-14
23,0
24,0
25,0
26,-6.9388939e-15
27,-6.9388939e-15
28,0
29,1.3877788e-14
30,0
31,-1.3877788e-14
32,-6.9388939e-15
33,-1.3877788e-14
34,-6.9388939e-15
35,0
36,0
37,-6.9388939e-15
38,0
39,-1.3877788e-14
40,-6.9388939e-15
41,6.9388939e-15
42,-6.9388939e-15
43,6.9388939e-15
44,0
45,-6.9388939e-15
46,6.9388939e-15
47,0
48,0
49,1.3877788e-14
50,0
51,6.9388939e-15
52,-6.9388939e-15
53,6.9388939e-15
54,0
55,1.3877788e-14
56,-2.7755576e-14
57,-6.9388939e-15
58,1.3877788e-14
59,0
60,6.9388939e-15
61,6.9388939e-15
62,0
63,0
64,-6.9388939e-15
65,-6.9388939e-15
66,6.9388939e-15
67,6.9388939e-15
68,0
69,0
70,-1.3877788e-14
71,-1.3877788e-14
72,6.9388939e-15
73,-6.9388939e-15
74,-6.9388939e-15
75,-6.9388939e-15
76,-2.0816682e-14
77,-1.3877788e-14
78,-6.9388939e-15
79,-6.9388939e-15
80,-6.9388939e-15
81,0
82,1.3877788e-14
83,-1.3877788e-14
84,0
85,6.9388939e-15
86,-6.9388939e-15
87,0
88,1.3877788e-14
89,-1.3877788e-14
90,-1.3877788e-14
91,-1.3877788e-14
92,-6.9388939e-15
93,0
94,0
95,6.9388939e-15
96,0
97,-6.9388939e-15
98,0
99,6.9388939e-15
100,1.3877788e-14
101,-6.9388939e-15
102,-6.9388939e-15
103,-1.3877788e-14
104,1.3877788e-14
105,6.9388939e-15
106,1.3877788e-14
107,-1.3877788e-14
108,0
109,0
110,1.3877788e-14
111,0
112,6.9388939e-15
113,-6.9388939e-15
114,6.9388939e-15
115,0
116,0
117,-1.3877788e-14
118,0
119,-6.9388939e-15
120,1.3877788e-14
121,-1.3877788e-14
122,0
123,0
124,-6.9388939e-15
125,-1.3877788e-14
126,1.3877788e-14
127,-6.9388939e-15
128,0
129,0
130,1.3877788e-14
131,-2.0816682e-14
132,0
133,1.3877788e-14
134,-1.3877788e-14
135,6.9388939e-15
136,0
137,6.9388939e-15
138,-6.9388939e-15
139,0
140,6.9388939e-15
141,6.9388939e-15
142,-6.9388939e-15
143,0
144,6.9388939e-15
145,0
146,0
147,0
148,-6.9388939e-15
149,1.3877788e-14
150,-6.9388939e-15
151,0
152,6.9388939e-15
153,1.3877788e-14
154,0
155,-6.9388939e-15
156,0
157,-6.9388939e-15
158,1.3877788e-14
159,-6.9388939e-15
160,6.9388939e-15
161,0
162,0
163,0
164,1.3877788e-14
165,0
166,-2.0816682e-14
167,1.3877788e-14
168,-1.3877788e-14
169,6.9388939e-15
170,-6.9388939e-15
171,6.9388939e-15
172,1.3877788e-14
173,1.3877788e-14
174,1.3877788e-14
175,-1.3877788e-14
176,-1.3877788e-14
177,0
178,6.9388939e-15
179,0.11372189
