step,bending_energy
0,6.3194576e-29
1,9.2151241e-07
2,1.4490705e-05
3,7.2074718e-05
4,0.00022372674
5,0.00053626315
6,0.0010913108
7,0.0019833047
8,0.003317414
9,0.0052073745
10,0.0077732057
11,0.011138795
12,0.015429332
13,0.020768582
14,0.027276
15,0.035063667
16,0.044233092
17,0.054871877
18,0.067050296
19,0.080817872
20,0.096200007
21,0.11319482
22,0.13177029
23,0.15186199
24,0.17337135
25,0.19616501
26,0.22007506
27,0.24490057
28,0.27041041
29,0.29634745
30,0.32243399
31,0.34837845
32,0.37388304
33,0.39865206
34,0.4224007
35,0.44486377
36,0.46580413
37,0.48502035
38,0.50235331
39,0.51769147
40,0.53097452
41,0.54219526
42,0.55139972
43,0.55868538
44,0.56419768
45,0.56812486
46,0.57069149
47,0.57215082
48,0.57277628
49,0.57285261
50,0.57266673
51,0.57249897
52,0.57261468
53,0.57325681
54,0.57463946
55,0.57694269
56,0.58030863
57,0.58483901
58,0.59059406
59,0.59759259
60,0.6058134
61,0.61519752
62,0.62565138
63,0.63705063
64,0.64924434
65,0.66205955
66,0.67530586
67,0.68878008
68,0.70227065
69,0.71556192
70,0.72843805
71,0.74068668
72,0.75210217
73,0.76248863
74,0.77166256
75,0.7794553
76,0.78571529
77,0.79031016
78,0.79312888
79,0.79408375
