iteration,rms_shape_error_mm,normalized_objective
1,7.7834837,1.011163
2,12.923762,2.787732
3,18.023506,5.4219019
4,16.308995,4.4394329
5,14.612903,3.5640689
6,12.957498,2.8023051
7,11.775925,2.3145318
8,10.593652,1.8731152
9,9.3783439,1.4679979
10,8.1226665,1.1012105
11,7.4498355,0.92633161
12,6.7960485,0.77087871
13,6.1830909,0.63809358
14,5.6018493,0.52376437
15,5.1442081,0.44168249
16,4.6531112,0.36137656
17,4.1218208,0.28356415
18,3.5740172,0.2131996
19,3.1958779,0.17047217
20,2.8587012,0.13639883
21,2.5527918,0.10876869
22,2.2448105,0.084107063
23,2.0655341,0.071209486
24,1.8464321,0.056903606
25,1.6118733,0.043364557
26,1.3984537,0.032641439
27,1.3027564,0.028326931
28,1.2406985,0.025692456
29,1.1802892,0.023251445
30,1.0917941,0.019895488
31,1.0474991,0.018313883
32,0.99561137,0.016544468
33,0.97038866,0.015716815
34,0.98799249,0.016292225
35,1.0316168,0.017762737
36,1.0520881,0.018474699
37,1.0223231,0.017444135
38,0.9355337,0.014608041
39,0.81860374,0.011184603
40,0.7125045,0.008473217
41,0.64338992,0.0069091022
42,0.62360637,0.0064907397
43,0.60540978,0.0061174718
44,0.55979554,0.0052303647
45,0.48231273,0.0038826707
46,0.39710535,0.0026319922
47,0.33842858,0.0019116447
48,0.32396397,0.0017517275
49,0.35048375,0.0020502597
50,0.37297729,0.0023218699
51,0.36046572,0.0021687078
52,0.30899108,0.0015935475
53,0.24434214,0.00099648289
54,0.2023947,0.00068370914
55,0.20189283,0.0006803226
56,0.23537655,0.00092469714
57,0.26327897,0.0011569256
58,0.25540189,0.0010887329
59,0.20862496,0.00072644984
60,0.18,0.00054077689
