step,s1_m,Fx1_uN,Fy1_uN,F1_uN,s2_m,Fx2_uN,Fy2_uN,F2_uN,s3_m,Fx3_uN,Fy3_uN,F3_uN
0,0.0175,-0.00058040761,6.0856218,6.0856218,0.03,-0.00085947292,6.5132571,6.5132572,0.04,-0.0014723726,5.7778497,5.7778499
1,0.0175,-0.0024554046,5.1809666,5.1809672,0.03,-0.0038761691,5.9133648,5.913366,0.04,-0.0064917528,5.1267025,5.1267066
2,0.0175,-0.0079369493,6.483385,6.4833899,0.03,-0.014152627,8.3633774,8.3633894,0.04,-0.019397203,5.9300461,5.9300778
3,0.0175,-0.013622432,5.8243634,5.8243793,0.03,-0.024650197,7.6309067,7.6309465,0.04,-0.044666033,7.1468478,7.1469874
4,0.0175,-0.026107441,6.8494861,6.8495359,0.03,-0.032636105,6.206213,6.2062988,0.04,-0.070027498,6.8750136,6.8753702
5,0.0175,-0.043447435,7.7078781,7.7080006,0.03,-0.046450575,5.9809156,5.981096,0.04,-0.098609775,6.5459101,6.5466528
6,0.0175,-0.03701028,4.7392658,4.7394103,0.03,-0.067780952,6.3090245,6.3093886,0.04,-0.10568036,5.0633335,5.0644363
7,0.0175,-0.071056529,6.8824036,6.8827704,0.03,-0.093429683,6.5890891,6.5897515,0.04,-0.21438365,7.7690701,7.7720275
8,0.0175,-0.098739882,7.4931957,7.4938463,0.03,-0.14685722,8.1298215,8.1311478,0.04,-0.16160787,4.5886906,4.5915355
9,0.0175,-0.11120664,6.7962172,6.797127,0.03,-0.19096926,8.5305464,8.5326837,0.04,-0.34538041,7.8982547,7.9058026
10,0.0175,-0.11411138,5.7410909,5.7422249,0.03,-0.22360674,8.2402974,8.2433307,0.04,-0.35778968,6.737275,6.7467687
11,0.0175,-0.15975963,6.7377838,6.7396776,0.03,-0.33268971,10.300083,10.305455,0.04,-0.44848188,7.0818522,7.0960388
12,0.0175,-0.21723474,7.7972205,7.8002461,0.03,-0.38969586,10.291645,10.29902,0.04,-0.55635726,7.4811005,7.5017596
13,0.015,-0.18499482,7.4325568,7.4348587,0.0275,-0.41999013,9.5316363,9.5408848,0.04,-0.72207557,8.3774792,8.4085404
14,0.015,-0.17739997,6.1962565,6.1987955,0.0275,-0.48704449,9.6794846,9.6917302,0.04,-0.99121341,10.03665,10.085477
15,0.015,-0.19276591,5.9074954,5.9106397,0.0275,-0.6141838,10.796089,10.813545,0.04,-0.97007119,8.6598731,8.7140369
16,0.015,-0.26154905,7.0894559,7.0942789,0.0275,-0.78603305,12.329081,12.354112,0.04,-1.198605,9.5194256,9.594588
17,0.015,-0.26982242,6.5146898,6.5202751,0.0275,-0.72144607,10.17773,10.203268,0.04,-1.3169438,9.3822664,9.4742421
18,0.015,-0.36126956,7.8185109,7.826853,0.0275,-0.86454061,11.04823,11.082005,0.04,-1.3501433,8.6939557,8.7981676
