step,rms_distance_to_target_mm,max_node_error_mm,tip_error_mm,normalized_error_percent
0,8.4,12.499088,7.7884978,16.8
1,8.3417585,12.590162,7.6517877,16.683517
2,8.2518581,12.612147,7.4349796,16.503716
3,8.060455,12.444324,7.0907966,16.12091
4,7.8293926,12.171184,6.6951247,15.658785
5,7.5384593,11.757199,6.2516917,15.076919
6,7.1865595,11.201894,5.7806267,14.373119
7,6.79361,10.543112,5.3150571,13.58722
8,6.3610239,9.7940912,4.8668402,12.722048
9,5.9103059,9.0014432,4.4564524,11.820612
10,5.4513065,8.1937662,4.088514,10.902613
11,4.9920425,7.3953351,3.7610579,9.984085
12,4.5004024,6.5690548,3.4380669,9.0008048
13,3.9861656,5.7377724,3.1121838,7.9723311
14,3.4614239,4.922943,2.777537,6.9228478
15,2.9289922,4.128056,2.4228642,5.8579845
16,2.5202327,3.5329316,2.1498323,5.0404654
17,1.9741654,2.7641227,1.7328924,3.9483308
18,1.4884747,2.0905083,1.3387764,2.9769494
19,1.1613351,1.6426521,1.063989,2.3226701
20,1.0224466,1.4614458,0.9474526,2.0448931
21,0.92262453,1.3360285,0.85803223,1.8452491
22,0.85266458,1.2527209,0.78949686,1.7053292
23,0.79267568,1.1819632,0.72511408,1.5853514
24,0.74,1.1190233,0.66412052,1.48
