step,total_length_mm,total_length_residual_mm,max_segment_length_error_percent
0,50.001603,0.0016028505,0.055998482
1,50.001834,0.0018344698,0.05898656
2,50.001914,0.0019141033,0.062047533
3,50.001862,0.0018624241,0.064950437
4,50.001712,0.0017122788,0.067523132
5,50.001504,0.0015042506,0.06968942
6,50.001282,0.0012820064,0.071515951
7,50.001089,0.0010886271,0.073249634
8,50.000965,0.00096464557,0.075292884
9,50.000946,0.00094610923,0.078050193
10,50.001057,0.0010573573,0.081644276
11,50.001294,0.0012940486,0.08565123
12,50.001604,0.0016038026,0.089115008
13,50.001887,0.0018868885,0.090981514
14,50.002033,0.00203317,0.09074331
15,50.001976,0.0019763673,0.08882383
16,50.00172,0.0017204827,0.086382033
17,50.001316,0.0013164888,0.08468679
18,50.000817,0.00081691158,0.08452991
19,50.000251,0.00025100011,0.086027656
20,49.999632,0.00036783745,0.088795854
21,49.998978,0.0010222369,0.092252163
22,49.998321,0.0016794809,0.095835442
23,49.997707,0.0022928513,0.099089594
24,49.99719,0.0028096686,0.1016635
