step,total_length_mm,total_length_residual_mm,max_segment_length_error_percent,normalized_curvature_index,max_curvature
0,50,0,8.8817842e-14,0,0
1,50,7.1054274e-15,1.2434498e-13,0.0046700524,0.28608362
2,50,0,1.2434498e-13,0.024541145,1.5033707
3,50,0,1.2434498e-13,0.048711284,2.9840138
4,50,0,1.2434498e-13,0.079951959,4.8977921
5,50,1.4210855e-14,1.4210855e-13,0.11741168,7.192544
6,50,0,1.2434498e-13,0.17541046,10.745503
7,50,7.1054274e-15,1.4210855e-13,0.22361454,13.698445
8,50,0,1.2434498e-13,0.27462129,16.823078
9,50,7.1054274e-15,1.2434498e-13,0.34499616,21.134185
10,50,0,1.4210855e-13,0.39806627,24.385217
11,50,0,1.2434498e-13,0.45018121,27.577736
12,50,0,1.4210855e-13,0.51653534,31.642536
13,50,7.1054274e-15,8.8817842e-14,0.56756101,34.768327
14,50,7.1054274e-15,1.2434498e-13,0.62357123,38.199468
15,50,0,8.8817842e-14,0.67812045,41.541109
16,50,7.1054274e-15,1.2434498e-13,0.74744658,45.787972
17,50,0,8.8817842e-14,0.79603984,48.764755
18,50,0,1.0658141e-13,0.84099483,51.518661
19,50,0,1.2434498e-13,0.8941554,54.775235
20,50,0,1.2434498e-13,0.92810387,56.854891
21,50,0,1.0658141e-13,0.95626002,58.579713
22,50,0,1.0658141e-13,0.97797948,59.91023
23,50,0,1.2434498e-13,0.99581106,61.002578
24,50,0,7.1054274e-14,1,61.259189
